top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch,seed
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.521186828613281,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,0,0
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.610298156738281,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,0,0
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.658020973205566,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,0,0
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.691922187805176,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,0,0
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.752945899963379,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,0,0
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.521158218383789,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,0,1
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.610308647155762,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,0,1
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.658105850219727,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,0,1
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.691939353942871,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,0,1
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.752969741821289,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,0,1
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.521186828613281,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,0,2
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.610331535339355,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,0,2
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.657992362976074,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,0,2
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.691898345947266,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,0,2
0.239,99.761,0.9379,99.0621,0.0,100.0,0.0,100.0,6.889377593994141,8.752961158752441,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,0,2
40.5498,59.4502,65.9043,34.0957,23.1869,76.8131,46.0396,53.9604,2.9088971614837646,3.9287731647491455,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,9,0
40.5498,59.4502,65.9043,34.0957,22.8973,77.1027,45.5008,54.4992,2.9088971614837646,3.964972496032715,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,9,0
40.5498,59.4502,65.9043,34.0957,22.723,77.277,45.2921,54.7079,2.9088971614837646,3.982804536819458,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,9,0
40.5498,59.4502,65.9043,34.0957,22.6947,77.3053,45.2192,54.7808,2.9088971614837646,3.987657070159912,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,9,0
40.5498,59.4502,65.9043,34.0957,22.6744,77.3256,45.1645,54.8355,2.9088971614837646,3.9918723106384277,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,9,0
40.5498,59.4502,65.9043,34.0957,23.1849,76.8151,46.066,53.934,2.9088971614837646,3.928776741027832,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,9,1
40.5498,59.4502,65.9043,34.0957,22.9094,77.0906,45.5089,54.4911,2.9088971614837646,3.9649739265441895,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,9,1
40.5498,59.4502,65.9043,34.0957,22.721,77.279,45.2719,54.7281,2.9088971614837646,3.9828057289123535,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,9,1
40.5498,59.4502,65.9043,34.0957,22.6987,77.3013,45.2091,54.7909,2.9088971614837646,3.987652063369751,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,9,1
40.5498,59.4502,65.9043,34.0957,22.6623,77.3377,45.1503,54.8497,2.9088971614837646,3.991866111755371,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,9,1
40.5498,59.4502,65.9043,34.0957,23.195,76.805,46.0376,53.9624,2.9088971614837646,3.928779363632202,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,9,2
40.5498,59.4502,65.9043,34.0957,22.9236,77.0764,45.4906,54.5094,2.9088971614837646,3.964970588684082,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,9,2
40.5498,59.4502,65.9043,34.0957,22.7311,77.2689,45.28,54.72,2.9088971614837646,3.982797622680664,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,9,2
40.5498,59.4502,65.9043,34.0957,22.7048,77.2952,45.2131,54.7869,2.9088971614837646,3.987642526626587,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,9,2
40.5498,59.4502,65.9043,34.0957,22.6704,77.3296,45.1787,54.8213,2.9088971614837646,3.9918737411499023,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,9,2
49.6374,50.3626,74.53,25.47,30.9436,69.0564,57.1692,42.8308,2.3771822452545166,3.3409197330474854,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.4311,69.5689,56.5149,43.4851,2.3771822452545166,3.381054401397705,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.1819,69.8181,56.2373,43.7627,2.3771822452545166,3.401136875152588,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.111,69.889,56.1887,43.8113,2.3771822452545166,3.4067063331604004,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.0624,69.9376,56.0935,43.9065,2.3771822452545166,3.4115920066833496,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.9497,69.0503,57.1611,42.8389,2.3771822452545166,3.3409388065338135,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.4351,69.5649,56.5108,43.4892,2.3771822452545166,3.381058692932129,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.19,69.81,56.2515,43.7485,2.3771822452545166,3.401122808456421,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.1009,69.8991,56.1745,43.8255,2.3771822452545166,3.406688690185547,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.0523,69.9477,56.1138,43.8862,2.3771822452545166,3.4115688800811768,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.9335,69.0665,57.1591,42.8409,2.3771822452545166,3.3409337997436523,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.4351,69.5649,56.5311,43.4689,2.3771822452545166,3.3810582160949707,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.186,69.814,56.2434,43.7566,2.3771822452545166,3.4011340141296387,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.0968,69.9032,56.1847,43.8153,2.3771822452545166,3.406708240509033,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.0624,69.9376,56.1138,43.8862,2.3771822452545166,3.411588430404663,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,19,2
54.3088,45.6912,78.6504,21.3496,34.7176,65.2824,61.4557,38.5443,2.118237018585205,3.0992395877838135,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,29,0
