top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch,seed
14.2047,85.7953,31.8289,68.1711,8.3644,91.6356,20.5656,79.4344,4.845643043518066,5.373282432556152,25.56,224,0.95,bicubic,pgd,1,resnet50_gelu,0,0
14.2027,85.7973,31.7924,68.2076,8.3097,91.6903,20.3833,79.6167,4.848299026489258,5.388110160827637,25.56,224,0.95,bicubic,pgd,2,resnet50_gelu,0,0
14.1601,85.8399,31.8187,68.1813,8.2753,91.7247,20.2617,79.7383,4.8499932289123535,5.398807048797607,25.56,224,0.95,bicubic,pgd,5,resnet50_gelu,0,0
14.1459,85.8541,31.8451,68.1549,8.2347,91.7653,20.2293,79.7707,4.852224349975586,5.404962062835693,25.56,224,0.95,bicubic,pgd,10,resnet50_gelu,0,0
14.1804,85.8196,31.7438,68.2562,8.1537,91.8463,20.1503,79.8497,4.855942249298096,5.413008213043213,25.56,224,0.95,bicubic,pgd,200,resnet50_gelu,0,0
14.1378,85.8622,31.7255,68.2745,8.332,91.668,20.5231,79.4769,4.852511405944824,5.377397537231445,25.56,224,0.95,bicubic,pgd,1,resnet50_gelu,0,1
14.2128,85.7872,31.7904,68.2096,8.3036,91.6964,20.3914,79.6086,4.848319053649902,5.388120174407959,25.56,224,0.95,bicubic,pgd,2,resnet50_gelu,0,1
14.1621,85.8379,31.8268,68.1732,8.2712,91.7288,20.2516,79.7484,4.849991798400879,5.398802757263184,25.56,224,0.95,bicubic,pgd,5,resnet50_gelu,0,1
14.1338,85.8662,31.843,68.157,8.2368,91.7632,20.2354,79.7646,4.852224826812744,5.404955863952637,25.56,224,0.95,bicubic,pgd,10,resnet50_gelu,0,1
14.1743,85.8257,31.7458,68.2542,8.1476,91.8524,20.1483,79.8517,4.855940341949463,5.413002014160156,25.56,224,0.95,bicubic,pgd,200,resnet50_gelu,0,1
14.1419,85.8581,31.7154,68.2846,8.3381,91.6619,20.5231,79.4769,4.852513313293457,5.377387046813965,25.56,224,0.95,bicubic,pgd,1,resnet50_gelu,0,2
14.2087,85.7913,31.8066,68.1934,8.2975,91.7025,20.3934,79.6066,4.8483076095581055,5.38812255859375,25.56,224,0.95,bicubic,pgd,2,resnet50_gelu,0,2
14.1642,85.8358,31.8248,68.1752,8.2753,91.7247,20.2536,79.7464,4.849987506866455,5.3988037109375,25.56,224,0.95,bicubic,pgd,5,resnet50_gelu,0,2
14.1459,85.8541,31.8451,68.1549,8.2408,91.7592,20.2293,79.7707,4.852226257324219,5.40496301651001,25.56,224,0.95,bicubic,pgd,10,resnet50_gelu,0,2
14.1865,85.8135,31.7478,68.2522,8.1436,91.8564,20.1402,79.8598,4.85594367980957,5.413010597229004,25.56,224,0.95,bicubic,pgd,200,resnet50_gelu,0,2
42.8409,57.1591,67.9787,32.0213,27.123,72.877,51.3228,48.6772,2.794292449951172,3.669203519821167,25.56,224,0.95,bicubic,pgd,1,resnet50_gelu,9,0
