top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch,seed
40.4026,59.5974,66.1651,33.8349,23.588,76.412,46.7686,53.2314,2.9898242950439453,3.920531749725342,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,9,0
40.3078,59.6922,66.0723,33.9277,22.9163,77.0837,45.8649,54.1351,3.009124279022217,3.9860663414001465,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,9,0
40.1868,59.8132,66.0017,33.9983,22.5573,77.4427,45.3385,54.6615,3.022860050201416,4.026224136352539,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,9,0
40.1565,59.8435,65.9795,34.0205,22.4181,77.5819,45.1408,54.8592,3.029479742050171,4.042357444763184,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,9,0
40.0637,59.9363,65.9029,34.0971,22.1821,77.8179,44.7878,55.2122,3.050046682357788,4.068233489990234,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,9,0
40.3703,59.6297,66.1711,33.8289,23.6082,76.3918,46.7182,53.2818,2.992812156677246,3.9228594303131104,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,9,1
40.2997,59.7003,66.0844,33.9156,22.9244,77.0756,45.8488,54.1512,3.009126901626587,3.9860668182373047,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,9,1
40.1989,59.8011,65.9896,34.0104,22.5573,77.4427,45.3506,54.6494,3.0228776931762695,4.026217460632324,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,9,1
40.1626,59.8374,65.9694,34.0306,22.4282,77.5718,45.1327,54.8673,3.029477596282959,4.042365074157715,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,9,1
40.0758,59.9242,65.9129,34.0871,22.1801,77.8199,44.7938,55.2062,3.050032615661621,4.0682525634765625,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,9,1
40.3784,59.6216,66.1852,33.8148,23.5981,76.4019,46.7283,53.2717,2.9928336143493652,3.9228737354278564,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,9,2
40.2977,59.7023,66.0804,33.9196,22.9062,77.0938,45.8569,54.1431,3.0091235637664795,3.9860453605651855,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,9,2
40.1767,59.8233,65.9997,34.0003,22.5654,77.4346,45.3284,54.6716,3.022871255874634,4.026213645935059,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,9,2
40.1646,59.8354,65.9654,34.0346,22.4443,77.5557,45.1307,54.8693,3.029480457305908,4.042343616485596,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,9,2
40.0617,59.9383,65.925,34.075,22.1619,77.8381,44.7777,55.2223,3.0500378608703613,4.068238258361816,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,9,2
51.6883,48.3117,76.3878,23.6122,31.2228,68.7772,57.6751,42.3249,2.276728630065918,3.3119406700134277,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,19,0
51.5975,48.4025,76.3273,23.6727,29.7261,70.2739,56.1058,43.8942,2.287611961364746,3.4146411418914795,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,19,0
51.5007,48.4993,76.2203,23.7797,28.7437,71.2563,54.8854,45.1146,2.2967376708984375,3.4861509799957275,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,19,0
51.4382,48.5618,76.1578,23.8422,28.3423,71.6577,54.4033,45.5967,2.3013033866882324,3.5152950286865234,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,19,0
51.2607,48.7393,76.0428,23.9572,27.6283,72.3717,53.542,46.458,2.31398344039917,3.567324161529541,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,19,0
51.6681,48.3319,76.3938,23.6062,31.1865,68.8135,57.6368,42.3632,2.2774229049682617,3.314289093017578,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,19,1
51.6177,48.3823,76.3212,23.6788,29.72,70.28,56.1179,43.8821,2.2876241207122803,3.4146296977996826,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,19,1
