top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch,seed
0.4011,99.5989,1.3775,98.6225,0.0,100.0,0.0,100.0,6.869195938110352,8.971067428588867,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,0,0
0.4072,99.5928,1.3816,98.6184,0.0,100.0,0.0,100.0,6.8694915771484375,9.481952667236328,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,0,0
0.3991,99.6009,1.3856,98.6144,0.0,100.0,0.0,100.0,6.869721412658691,9.857929229736328,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,0,0
0.3829,99.6171,1.3795,98.6205,0.0,100.0,0.0,100.0,6.8700056076049805,9.999073028564453,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,0,0
0.3748,99.6252,1.3694,98.6306,0.0,100.0,0.0,100.0,6.871001243591309,10.10269546508789,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,0,0
0.395,99.605,1.3573,98.6427,0.0,100.0,0.0,100.0,6.869529724121094,8.966460227966309,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,0,1
0.4052,99.5948,1.3836,98.6164,0.0,100.0,0.0,100.0,6.8694987297058105,9.481937408447266,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,0,1
0.3991,99.6009,1.3755,98.6245,0.0,100.0,0.0,100.0,6.869722843170166,9.857961654663086,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,0,1
0.3849,99.6151,1.3775,98.6225,0.0,100.0,0.0,100.0,6.870003700256348,9.998955726623535,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,0,1
0.3748,99.6252,1.3573,98.6427,0.0,100.0,0.0,100.0,6.871006965637207,10.102666854858398,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,0,1
0.395,99.605,1.3573,98.6427,0.0,100.0,0.0,100.0,6.869525909423828,8.96633243560791,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,0,2
0.4072,99.5928,1.3836,98.6164,0.0,100.0,0.0,100.0,6.86949348449707,9.481813430786133,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,0,2
0.4011,99.5989,1.3917,98.6083,0.0,100.0,0.0,100.0,6.869722366333008,9.857902526855469,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,0,2
0.3829,99.6171,1.3735,98.6265,0.0,100.0,0.0,100.0,6.870007514953613,9.998968124389648,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,0,2
0.3788,99.6212,1.3613,98.6387,0.0,100.0,0.0,100.0,6.871010780334473,10.102672576904297,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,0,2
43.9855,56.0145,69.3501,30.6499,25.5166,74.4834,49.8339,50.1661,2.7192182540893555,3.731684446334839,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,9,0
43.9227,56.0773,69.2853,30.7147,24.925,75.075,49.1755,50.8245,2.722360372543335,3.777878761291504,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,9,0
43.9571,56.0429,69.2651,30.7349,24.6232,75.3768,48.7805,51.2195,2.72301983833313,3.8027095794677734,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,9,0
43.8741,56.1259,69.2428,30.7572,24.5523,75.4477,48.6529,51.3471,2.7235183715820312,3.8113811016082764,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,9,0
43.8113,56.1887,69.2144,30.7856,24.449,75.551,48.4442,51.5558,2.7248244285583496,3.8210580348968506,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,9,0
43.9267,56.0733,69.2752,30.7248,25.4558,74.5442,49.8947,50.1053,2.7223927974700928,3.7323451042175293,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,9,1
43.9308,56.0692,69.2914,30.7086,24.925,75.075,49.1613,50.8387,2.7223684787750244,3.7778944969177246,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,9,1
43.9511,56.0489,69.261,30.739,24.6151,75.3849,48.7825,51.2175,2.723031759262085,3.8026998043060303,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,9,1
43.8822,56.1178,69.2509,30.7491,24.5584,75.4416,48.6589,51.3411,2.7235171794891357,3.811361312866211,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,9,1
43.8153,56.1847,69.2043,30.7957,24.4449,75.5551,48.4564,51.5436,2.7248196601867676,3.821043014526367,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,9,1
43.9349,56.0651,69.257,30.743,25.4335,74.5665,49.8845,50.1155,2.722381353378296,3.7323482036590576,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,9,2
43.9328,56.0672,69.2873,30.7127,24.9109,75.0891,49.1775,50.8225,2.722358226776123,3.7778754234313965,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,9,2
