point,seed,steps,loss
0,0,1,0.16139844
1,0,1,0.33365545
2,0,1,0.8095717
3,0,1,0.03682148
4,0,1,1.9022281
5,0,1,0.14800213
6,0,1,0.06895437
7,0,1,1.6330085
8,0,1,0.078474104
9,0,1,5.049871
10,0,1,0.41102165
11,0,1,1.5329127
12,0,1,0.103241615
13,0,1,0.23572479
14,0,1,0.04553534
15,0,1,0.6029984
16,0,1,2.665885
17,0,1,2.4247632
18,0,1,1.1368659
19,0,1,0.016649177
20,0,1,0.091024
21,0,1,2.9854302
22,0,1,0.27371225
23,0,1,0.02237111
24,0,1,2.1996565
25,0,1,3.740949
26,0,1,0.11566182
27,0,1,1.189974
28,0,1,0.5358716
29,0,1,3.0439317
30,0,1,0.6781858
31,0,1,3.3556056
0,0,2,0.18223475
1,0,2,0.38749605
2,0,2,0.8958317
3,0,2,0.03732775
4,0,2,2.0634363
5,0,2,0.19347851
6,0,2,0.074819624
7,0,2,1.8733566
8,0,2,0.08634814
9,0,2,5.1939764
10,0,2,0.4837979
11,0,2,1.685685
12,0,2,0.11169296
13,0,2,0.29751676
14,0,2,0.049278118
15,0,2,0.76696295
16,0,2,2.9991446
17,0,2,2.5795372
18,0,2,1.5761892
19,0,2,0.017734138
20,0,2,0.099780984
21,0,2,3.5644424
22,0,2,0.34296626
23,0,2,0.023160266
24,0,2,2.3474703
25,0,2,3.9952266
26,0,2,0.13963038
27,0,2,1.3240131
28,0,2,0.5935333
29,0,2,3.1322408
30,0,2,0.80766475
31,0,2,3.8575594
0,0,5,0.25134176
1,0,5,0.54036504
2,0,5,1.1004692
3,0,5,0.04219584
4,0,5,2.5045662
5,0,5,0.41850224
6,0,5,0.089770526
7,0,5,2.4984522
8,0,5,0.10548943
9,0,5,5.5172205
10,0,5,0.66708744
11,0,5,2.1224983
12,0,5,0.14202912
13,0,5,0.52284074
14,0,5,0.06188413
15,0,5,1.2971221
16,0,5,3.958581
17,0,5,2.9249537
18,0,5,2.698686
19,0,5,0.02083759
20,0,5,0.12626116
21,0,5,4.93756
22,0,5,0.7262917
23,0,5,0.024709037
24,0,5,2.672264
25,0,5,4.6241417
26,0,5,0.22050999
27,0,5,1.7475765
28,0,5,0.7765592
29,0,5,3.3338187
30,0,5,1.3083417
31,0,5,4.7968607
0,0,10,0.39803642
1,0,10,0.8034851
2,0,10,1.289873
3,0,10,0.051424373
4,0,10,3.00448
5,0,10,0.8668652
6,0,10,0.11874863
7,0,10,3.4961598
8,0,10,0.12870513
9,0,10,5.8280087
10,0,10,0.9269591
11,0,10,2.5757556
12,0,10,0.26701862
13,0,10,0.89953715
14,0,10,0.0851256
15,0,10,2.107708
16,0,10,4.9445705
17,0,10,3.2780437
18,0,10,3.8175154
19,0,10,0.024255328
20,0,10,0.16386127
21,0,10,5.9854755
22,0,10,1.7518044
23,0,10,0.028427603
24,0,10,2.968188
25,0,10,5.2836905
26,0,10,0.42340922
27,0,10,2.2419045
28,0,10,0.96035343
29,0,10,3.5171573
30,0,10,2.036155
31,0,10,5.6230516
0,0,50,0.5841721
1,0,50,0.96371174
2,0,50,1.336541
3,0,50,0.07451491
4,0,50,3.1427157
5,0,50,1.2155766
6,0,50,0.12954696
7,0,50,4.512723
8,0,50,0.12843284
9,0,50,5.8762016
10,0,50,1.0720991
11,0,50,2.706477
12,0,50,0.7875163
13,0,50,1.1723344
14,0,50,0.10939224
15,0,50,2.7195756
16,0,50,5.163267
17,0,50,3.3765163
18,0,50,4.0196013
19,0,50,0.023974547
20,0,50,0.18637805
21,0,50,6.300688
22,0,50,2.4055426
23,0,50,0.027177742
24,0,50,3.0156446
25,0,50,5.465781
26,0,50,0.72744983
27,0,50,2.3617806
28,0,50,1.0134138
29,0,50,3.5796921
30,0,50,2.2727997
31,0,50,5.910192
0,0,100,0.6113392
1,0,100,0.9785034
2,0,100,1.3162233
3,0,100,0.085301384
4,0,100,3.1416
5,0,100,1.211315
6,0,100,0.1280037
7,0,100,4.483914
8,0,100,0.1278521
9,0,100,5.868031
10,0,100,1.0781707
11,0,100,2.7162757
12,0,100,0.78803444
13,0,100,1.1932251
14,0,100,0.108211786
15,0,100,2.772397
16,0,100,5.191206
17,0,100,3.3717482
18,0,100,3.9986098
19,0,100,0.02374516
20,0,100,0.18332028
21,0,100,6.3129454
22,0,100,2.3960419
23,0,100,0.027012588
24,0,100,3.0145235
25,0,100,5.451125
26,0,100,0.74026537
27,0,100,2.364788
28,0,100,1.0188134
29,0,100,3.6041281
30,0,100,2.2824767
31,0,100,5.8749275
0,0,200,0.61139834
1,0,200,0.9634457
2,0,200,1.331994
3,0,200,0.08578618
4,0,200,3.1364026
5,0,200,1.212039
6,0,200,0.13065492
7,0,200,4.489704
8,0,200,0.1278371
9,0,200,5.8599906
10,0,200,1.0830235
11,0,200,2.7136173
12,0,200,0.77601856
13,0,200,1.1919835
14,0,200,0.108054094
15,0,200,2.7585993
16,0,200,5.1878576
17,0,200,3.3718572
18,0,200,4.014557
19,0,200,0.024034364
20,0,200,0.18785724
21,0,200,6.317034
22,0,200,2.408089
23,0,200,0.02711997
24,0,200,3.0013847
25,0,200,5.460088
26,0,200,0.74819916
27,0,200,2.3525019
28,0,200,1.0197839
29,0,200,3.5914688
30,0,200,2.2798252
31,0,200,5.872034
0,0,500,0.6155044
1,0,500,0.97380817
2,0,500,1.3359361
3,0,500,0.08660477
4,0,500,3.1370206
5,0,500,1.2124563
6,0,500,0.1324194
7,0,500,4.4635663
8,0,500,0.12771149
9,0,500,5.8572903
10,0,500,1.0792946
11,0,500,2.7161655
12,0,500,0.8011963
13,0,500,1.2021407
14,0,500,0.10804363
15,0,500,2.7713785
16,0,500,5.163822
17,0,500,3.370202
18,0,500,4.0182767
19,0,500,0.023735395
20,0,500,0.18512392
21,0,500,6.299404
22,0,500,2.3799658
23,0,500,0.027069546
24,0,500,3.0051572
25,0,500,5.4555616
26,0,500,0.74226016
27,0,500,2.3642464
28,0,500,1.0134723
29,0,500,3.5886943
30,0,500,2.2653444
31,0,500,5.895957
0,1,1,0.16005853
1,1,1,0.33578414
2,1,1,0.8032577
3,1,1,0.037118774
4,1,1,1.907874
5,1,1,0.14890175
6,1,1,0.069012515
7,1,1,1.63817
8,1,1,0.08041328
9,1,1,5.0699263
10,1,1,0.42424527
11,1,1,1.5251727
12,1,1,0.10535447
13,1,1,0.23340292
14,1,1,0.045539625
15,1,1,0.6022694
16,1,1,2.6544561
17,1,1,2.4325266
18,1,1,1.1670299
19,1,1,0.016343577
20,1,1,0.0909424
21,1,1,2.9877563
22,1,1,0.2735996
23,1,1,0.022495126
24,1,1,2.2078583
25,1,1,3.7456298
26,1,1,0.11741133
27,1,1,1.2016646
28,1,1,0.5315175
29,1,1,3.0445762
30,1,1,0.6675537
31,1,1,3.3506975
0,1,2,0.17988406
1,1,2,0.38545993
2,1,2,0.8928894
3,1,2,0.038138118
4,1,2,2.064665
5,1,2,0.19285205
6,1,2,0.07334696
7,1,2,1.8340775
8,1,2,0.08608036
9,1,2,5.1870785
10,1,2,0.47890007
11,1,2,1.6845479
12,1,2,0.11623515
13,1,2,0.294695
14,1,2,0.049585424
15,1,2,0.7699934
16,1,2,3.002579
17,1,2,2.5720766
18,1,2,1.5377433
19,1,2,0.018002013
20,1,2,0.09857658
