"Step","resnet50_gelu","model: resnet50_gelu - eval_robust_top1__MIN","model: resnet50_gelu - eval_robust_top1__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - eval_robust_top1__MIN","model: xcit_small_12_p16_224 - eval_robust_top1__MAX"
"0","8.328004837036133","8.328004837036133","8.328004837036133","0","0","0"
"1","15.93470287322998","15.93470287322998","15.93470287322998","2.659446954727173","2.659446954727173","2.659446954727173"
"2","19.765026092529297","19.765026092529297","19.765026092529297","7.8864288330078125","7.8864288330078125","7.8864288330078125"
"3","22.572330474853516","22.572330474853516","22.572330474853516","13.293238639831543","13.293238639831543","13.293238639831543"
"4","24.2027645111084","24.2027645111084","24.2027645111084","17.826885223388672","17.826885223388672","17.826885223388672"
"5","25.385629653930664","25.385629653930664","25.385629653930664","21.057785034179688","21.057785034179688","21.057785034179688"
"6","26.12691879272461","26.12691879272461","26.12691879272461","23.629316329956055","23.629316329956055","23.629316329956055"
"7","26.450607299804688","26.450607299804688","26.450607299804688","24.506473541259766","24.506473541259766","24.506473541259766"
"8","27.265825271606445","27.265825271606445","27.265825271606445","25.675352096557617","25.675352096557617","25.675352096557617"
"9","27.705402374267578","27.705402374267578","27.705402374267578","26.4645938873291","26.4645938873291","26.4645938873291"
"10","27.665441513061523","27.665441513061523","27.665441513061523","26.700366973876953","26.700366973876953","26.700366973876953"
"11","27.969148635864258","27.969148635864258","27.969148635864258","27.52157974243164","27.52157974243164","27.52157974243164"
"12","27.993125915527344","27.993125915527344","27.993125915527344","28.510629653930664","28.510629653930664","28.510629653930664"
"13","28.714433670043945","28.714433670043945","28.714433670043945","28.136987686157227","28.136987686157227","28.136987686157227"
"14","28.940217971801758","28.940217971801758","28.940217971801758","29.13802719116211","29.13802719116211","29.13802719116211"
"15","29.06209945678711","29.06209945678711","29.06209945678711","29.739450454711914","29.739450454711914","29.739450454711914"
"16","29.205961227416992","29.205961227416992","29.205961227416992","30.238969802856445","30.238969802856445","30.238969802856445"
"17","29.257911682128906","29.257911682128906","29.257911682128906","30.18901824951172","30.18901824951172","30.18901824951172"
"18","29.118045806884766","29.118045806884766","29.118045806884766","30.007192611694336","30.007192611694336","30.007192611694336"
"19","29.453723907470703","29.453723907470703","29.453723907470703","31.11013412475586","31.11013412475586","31.11013412475586"
"20","28.892263412475586","28.892263412475586","28.892263412475586","31.00623321533203","31.00623321533203","31.00623321533203"
"21","29.339834213256836","29.339834213256836","29.339834213256836","31.531728744506836","31.531728744506836","31.531728744506836"
"22","29.661523818969727","29.661523818969727","29.661523818969727","31.52573585510254","31.52573585510254","31.52573585510254"
"23","30.01518440246582","30.01518440246582","30.01518440246582","32.306983947753906","32.306983947753906","32.306983947753906"
"24","29.901294708251953","29.901294708251953","29.901294708251953","32.458839416503906","32.458839416503906","32.458839416503906"
"25","29.641544342041016","29.641544342041016","29.641544342041016","32.356937408447266","32.356937408447266","32.356937408447266"
"26","30.22698211669922","30.22698211669922","30.22698211669922","32.98433303833008","32.98433303833008","32.98433303833008"
"27","30.210996627807617","30.210996627807617","30.210996627807617","33.13219451904297","33.13219451904297","33.13219451904297"
"28","29.661523818969727","29.661523818969727","29.661523818969727","33.00631332397461","33.00631332397461","33.00631332397461"
"29","30.139066696166992","30.139066696166992","30.139066696166992","33.449886322021484","33.449886322021484","33.449886322021484"
"30","39.671913146972656","39.671913146972656","39.671913146972656","33.50583267211914","33.50583267211914","33.50583267211914"
"31","40.992645263671875","40.992645263671875","40.992645263671875","33.80754470825195","33.80754470825195","33.80754470825195"
"32","41.65201187133789","41.65201187133789","41.65201187133789","33.839515686035156","33.839515686035156","33.839515686035156"
"33","41.959716796875","41.959716796875","41.959716796875","34.36500930786133","34.36500930786133","34.36500930786133"
"34","41.8398323059082","41.8398323059082","41.8398323059082","34.23313522338867","34.23313522338867","34.23313522338867"
"35","42.04763412475586","42.04763412475586","42.04763412475586","34.484893798828125","34.484893798828125","34.484893798828125"
"36","42.22945785522461","42.22945785522461","42.22945785522461","34.954444885253906","34.954444885253906","34.954444885253906"
"37","42.09558868408203","42.09558868408203","42.09558868408203","35.080322265625","35.080322265625","35.080322265625"
"38","42.39330291748047","42.39330291748047","42.39330291748047","35.394020080566406","35.394020080566406","35.394020080566406"
"39","42.11357116699219","42.11357116699219","42.11357116699219","35.9315071105957","35.9315071105957","35.9315071105957"
"40","42.465232849121094","42.465232849121094","42.465232849121094","36.005435943603516","36.005435943603516","36.005435943603516"
