"epoch","model: xcit_large_12_p16_224 - _step","model: xcit_large_12_p16_224 - _step__MIN","model: xcit_large_12_p16_224 - _step__MAX","xcit_large_12_p16_224","model: xcit_large_12_p16_224 - eval_robust_top1__MIN","model: xcit_large_12_p16_224 - eval_robust_top1__MAX","model: xcit_medium_12_p16_224 - _step","model: xcit_medium_12_p16_224 - _step__MIN","model: xcit_medium_12_p16_224 - _step__MAX","xcit_medium_12_p16_224","model: xcit_medium_12_p16_224 - eval_robust_top1__MIN","model: xcit_medium_12_p16_224 - eval_robust_top1__MAX","model: xcit_small_12_p16_224 - _step","model: xcit_small_12_p16_224 - _step__MIN","model: xcit_small_12_p16_224 - _step__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - eval_robust_top1__MIN","model: xcit_small_12_p16_224 - eval_robust_top1__MAX"
"0","0","0","0","0.015984654426574707","0.015984654426574707","0.015984654426574707","0","0","0","0.04097889922559261","0.03799999877810478","0.043957799673080444","0","0","0","0","0","0"
"1","1","1","1","3.43070650100708","3.43070650100708","3.43070650100708","1","1","1","2.635656237602234","2.4719998836517334","2.7993125915527344","1","1","1","2.503596544265747","2.503596544265747","2.503596544265747"
"2","2","2","2","9.550830841064453","9.550830841064453","9.550830841064453","2","2","2","7.042346715927124","6.473999977111816","7.610693454742432","2","2","2","7.083199977874756","7.083199977874756","7.083199977874756"
"3","3","3","3","16.787883758544922","16.787883758544922","16.787883758544922","3","3","3","12.113804340362549","11.319999694824219","12.907608985900879","3","3","3","12.482017517089844","12.482017517089844","12.482017517089844"
"4","4","4","4","21.603260040283203","21.603260040283203","21.603260040283203","4","4","4","16.804444313049316","15.785999298095703","17.82288932800293","4","4","4","16.959718704223633","16.959718704223633","16.959718704223633"
"5","5","5","5","24.9840145111084","24.9840145111084","24.9840145111084","5","5","5","20.53171443939209","19.63599967956543","21.42742919921875","5","5","5","20.656169891357422","20.656169891357422","20.656169891357422"
"6","6","6","6","27.82328987121582","27.82328987121582","27.82328987121582","6","6","6","23.490422248840332","22.86199951171875","24.118844985961914","6","6","6","23.04387855529785","23.04387855529785","23.04387855529785"
"7","7","7","7","29.247920989990234","29.247920989990234","29.247920989990234","7","7","7","25.10170555114746","24.591999053955078","25.611412048339844","7","7","7","24.1588077545166","24.1588077545166","24.1588077545166"
"8","8","8","8","30.139066696166992","30.139066696166992","30.139066696166992","8","8","8","26.5730037689209","26.071998596191406","27.07400894165039","8","8","8","25.79723358154297","25.79723358154297","25.79723358154297"
"9","9","9","9","30.482736587524414","30.482736587524414","30.482736587524414","9","9","9","27.049945831298828","26.90399932861328","27.195892333984375","9","9","9","25.881153106689453","25.881153106689453","25.881153106689453"
"10","10","10","10","31.150094985961914","31.150094985961914","31.150094985961914","10","10","10","27.972517013549805","27.855998992919922","28.089035034179688","10","10","10","26.334718704223633","26.334718704223633","26.334718704223633"
"11","11","11","11","31.629634857177734","31.629634857177734","31.629634857177734","11","11","11","28.762269973754883","28.602540969848633","28.921998977661133","11","11","11","27.054027557373047","27.054027557373047","27.054027557373047"
"12","12","12","12","32.62068557739258","32.62068557739258","32.62068557739258","12","12","12","29.478564262390137","28.881999969482422","30.07512855529785","12","12","12","27.97913932800293","27.97913932800293","27.97913932800293"
"13","13","13","13","33.517822265625","33.517822265625","33.517822265625","13","13","13","30.480202674865723","30.13399887084961","30.826406478881836","13","13","13","28.392742156982422","28.392742156982422","28.392742156982422"
"14","14","14","14","33.665679931640625","33.665679931640625","33.665679931640625","14","14","14","30.80000877380371","30.369998931884766","31.230018615722656","14","14","14","29.136028289794922","29.136028289794922","29.136028289794922"
"15","15","15","15","34.38499069213867","34.38499069213867","34.38499069213867","15","15","15","31.07105541229248","31.009998321533203","31.132112503051758","15","15","15","29.44373321533203","29.44373321533203","29.44373321533203"
"16","16","16","16","34.726661682128906","34.726661682128906","34.726661682128906","16","16","16","31.601624488830566","31.170000076293945","32.03324890136719","16","16","16","29.44972801208496","29.44972801208496","29.44972801208496"
"17","17","17","17","35.250160217285156","35.250160217285156","35.250160217285156","17","17","17","31.920653343200684","31.869998931884766","31.9713077545166","17","17","17","30.017183303833008","30.017183303833008","30.017183303833008"
"18","18","18","18","35.288124084472656","35.288124084472656","35.288124084472656","18","18","18","32.4572811126709","32.16999816894531","32.744564056396484","18","18","18","30.488731384277344","30.488731384277344","30.488731384277344"
"19","19","19","19","36.161285400390625","36.161285400390625","36.161285400390625","19","19","19","32.67315673828125","32.34199905395508","33.00431442260742","19","19","19","30.76446533203125","30.76446533203125","30.76446533203125"
"20","20","20","20","36.07936477661133","36.07936477661133","36.07936477661133","20","20","20","32.863101959228516","32.60599899291992","33.12020492553711","20","20","20","30.97626304626465","30.97626304626465","30.97626304626465"
"21","21","21","21","36.660804748535156","36.660804748535156","36.660804748535156","21","21","21","33.18394660949707","32.922000885009766","33.445892333984375","21","21","21","31.509750366210938","31.509750366210938","31.509750366210938"
"22","22","22","22","36.57688522338867","36.57688522338867","36.57688522338867","22","22","22","33.69164848327637","33.31800079345703","34.0652961730957","22","22","22","31.715553283691406","31.715553283691406","31.715553283691406"
"23","23","23","23","36.3710823059082","36.3710823059082","36.3710823059082","23","23","23","34.183624267578125","34.113250732421875","34.253997802734375","23","23","23","32.17111587524414","32.17111587524414","32.17111587524414"
"24","24","24","24","37.79771423339844","37.79771423339844","37.79771423339844","24","24","24","34.5903205871582","34.43000030517578","34.750640869140625","24","24","24","32.35094451904297","32.35094451904297","32.35094451904297"
"25","25","25","25","37.37411880493164","37.37411880493164","37.37411880493164","25","25","25","34.72122573852539","34.49799728393555","34.944454193115234","25","25","25","32.6986083984375","32.6986083984375","32.6986083984375"
"26","26","26","26","37.4680290222168","37.4680290222168","37.4680290222168","26","26","26","34.55831718444824","34.36399841308594","34.75263595581055","26","26","26","32.67463302612305","32.67463302612305","32.67463302612305"
"27","27","27","27","38.445091247558594","38.445091247558594","38.445091247558594","27","27","27","35.26502227783203","35.1619987487793","35.368045806884766","27","27","27","33.052268981933594","33.052268981933594","33.052268981933594"
"28","28","28","28","37.9715461730957","37.9715461730957","37.9715461730957","14","0","28","35.50197219848633","35.471946716308594","35.53199768066406","28","28","28","33.10621643066406","33.10621643066406","33.10621643066406"
"29","29","29","29","38.76678466796875","38.76678466796875","38.76678466796875","15","1","29","35.77668571472168","35.481998443603516","36.071372985839844","29","29","29","33.73760986328125","33.73760986328125","33.73760986328125"
"30","30","30","30","38.60493850708008","38.60493850708008","38.60493850708008","16","2","30","35.59774398803711","35.24599838256836","35.94948959350586","30","30","30","34.02533721923828","34.02533721923828","34.02533721923828"
"31","31","31","31","39.18038558959961","39.18038558959961","39.18038558959961","17","3","31","36.39951133728027","36.365997314453125","36.43302536010742","31","31","31","33.681663513183594","33.681663513183594","33.681663513183594"
"32","32","32","32","39.138427734375","39.138427734375","39.138427734375","18","4","32","36.51831817626953","36.20000076293945","36.83663558959961","32","32","32","34.253116607666016","34.253116607666016","34.253116607666016"
"33","33","33","33","39.40616989135742","39.40616989135742","39.40616989135742","19","5","33","36.62247657775879","36.50495529174805","36.73999786376953","33","33","33","34.598785400390625","34.598785400390625","34.598785400390625"
"34","34","34","34","39.8877067565918","39.8877067565918","39.8877067565918","20","6","34","36.70429611206055","36.5260009765625","36.882591247558594","34","34","34","34.59279251098633","34.59279251098633","34.59279251098633"
"35","35","35","35","39.87971496582031","39.87971496582031","39.87971496582031","21","7","35","37.32208442687988","37.31800079345703","37.326168060302734","35","35","35","34.894500732421875","34.894500732421875","34.894500732421875"
"36","36","36","36","40.33527755737305","40.33527755737305","40.33527755737305","22","8","36","37.01428985595703","36.892581939697266","37.1359977722168","36","36","36","34.55083084106445","34.55083084106445","34.55083084106445"
"37","37","37","37","40.38123321533203","40.38123321533203","40.38123321533203","23","9","37","37.59797668457031","37.54995346069336","37.645999908447266","37","37","37","35.186222076416016","35.186222076416016","35.186222076416016"
"38","38","38","38","40.58503723144531","40.58503723144531","40.58503723144531","24","10","38","37.95271873474121","37.81800079345703","38.08743667602539","38","38","38","35.55586624145508","35.55586624145508","35.55586624145508"
"39","39","39","39","40.64098358154297","40.64098358154297","40.64098358154297","25","11","39","38.34963035583496","38.26726150512695","38.43199920654297","39","39","39","35.91352462768555","35.91352462768555","35.91352462768555"
"40","40","40","40","40.8148193359375","40.8148193359375","40.8148193359375","26","12","40","38.496477127075195","38.402000427246094","38.5909538269043","40","40","40","36.013427734375","36.013427734375","36.013427734375"
"41","41","41","41","41.4122428894043","41.4122428894043","41.4122428894043","27","13","41","38.68935203552246","38.529998779296875","38.84870529174805","41","41","41","36.381072998046875","36.381072998046875","36.381072998046875"
"42","42","42","42","42.33935546875","42.33935546875","42.33935546875","28","14","42","39.057212829589844","38.9739990234375","39.14042663574219","42","42","42","37.03844451904297","37.03844451904297","37.03844451904297"
"43","43","43","43","41.85581970214844","41.85581970214844","41.85581970214844","29","15","43","39.19210433959961","39.02000045776367","39.36420822143555","43","43","43","37.288204193115234","37.288204193115234","37.288204193115234"
"44","44","44","44","42.361331939697266","42.361331939697266","42.361331939697266","30","16","44","39.83087921142578","39.82600021362305","39.835758209228516","44","44","44","37.356136322021484","37.356136322021484","37.356136322021484"
"45","45","45","45","42.1875","42.1875","42.1875","31","17","45","39.857643127441406","39.391998291015625","40.32328796386719","45","45","45","37.38211441040039","37.38211441040039","37.38211441040039"
"46","46","46","46","42.66703796386719","42.66703796386719","42.66703796386719","32","18","46","40.215667724609375","40.15599822998047","40.27533721923828","46","46","46","37.7717399597168","37.7717399597168","37.7717399597168"
