"epoch","model: xcit_large_12_p16_224 - _step","model: xcit_large_12_p16_224 - _step__MIN","model: xcit_large_12_p16_224 - _step__MAX","xcit_large_12_p16_224","model: xcit_large_12_p16_224 - train_robust_top1__MIN","model: xcit_large_12_p16_224 - train_robust_top1__MAX","model: xcit_medium_12_p16_224 - _step","model: xcit_medium_12_p16_224 - _step__MIN","model: xcit_medium_12_p16_224 - _step__MAX","xcit_medium_12_p16_224","model: xcit_medium_12_p16_224 - train_robust_top1__MIN","model: xcit_medium_12_p16_224 - train_robust_top1__MAX","model: xcit_small_12_p16_224 - _step","model: xcit_small_12_p16_224 - _step__MIN","model: xcit_small_12_p16_224 - _step__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - train_robust_top1__MIN","model: xcit_small_12_p16_224 - train_robust_top1__MAX"
"0","0","0","0","0.450451135635376","0.450451135635376","0.450451135635376","0","0","0","0.43313731253147125","0.37245094776153564","0.49382367730140686","0","0","0","0.2196485549211502","0.2196485549211502","0.2196485549211502"
"1","1","1","1","6.442270278930664","6.442270278930664","6.442270278930664","1","1","1","3.685963749885559","3.481433629989624","3.890493869781494","1","1","1","3.6199111938476562","3.6199111938476562","3.6199111938476562"
"2","2","2","2","17.714702606201172","17.714702606201172","17.714702606201172","2","2","2","10.806411743164062","10.036423683166504","11.576399803161621","2","2","2","11.240921020507812","11.240921020507812","11.240921020507812"
"3","3","3","3","23.900665283203125","23.900665283203125","23.900665283203125","3","3","3","16.246132850646973","15.278324127197266","17.21394157409668","3","3","3","16.979551315307617","16.979551315307617","16.979551315307617"
"4","4","4","4","27.088376998901367","27.088376998901367","27.088376998901367","4","4","4","19.928120613098145","18.958505630493164","20.897735595703125","4","4","4","20.497905731201172","20.497905731201172","20.497905731201172"
"5","5","5","5","27.905818939208984","27.905818939208984","27.905818939208984","5","5","5","21.75542640686035","20.899765014648438","22.611087799072266","5","5","5","22.054088592529297","22.054088592529297","22.054088592529297"
"6","6","6","6","27.630634307861328","27.630634307861328","27.630634307861328","6","6","6","22.514138221740723","21.789287567138672","23.238988876342773","6","6","6","22.51132583618164","22.51132583618164","22.51132583618164"
"7","7","7","7","26.967164993286133","26.967164993286133","26.967164993286133","7","7","7","22.8120756149292","22.22011375427246","23.404037475585938","7","7","7","22.45719337463379","22.45719337463379","22.45719337463379"
"8","8","8","8","25.576576232910156","25.576576232910156","25.576576232910156","8","8","8","22.095234870910645","21.682186126708984","22.508283615112305","8","8","8","21.4316463470459","21.4316463470459","21.4316463470459"
"9","9","9","9","24.651729583740234","24.651729583740234","24.651729583740234","9","9","9","21.726991653442383","21.476179122924805","21.97780418395996","9","9","9","20.837987899780273","20.837987899780273","20.837987899780273"
"10","10","10","10","24.028194427490234","24.028194427490234","24.028194427490234","10","10","10","21.316614151000977","21.136919021606445","21.496309280395508","10","10","10","20.221317291259766","20.221317291259766","20.221317291259766"
"11","11","11","11","24.79322052001953","24.79322052001953","24.79322052001953","11","11","11","22.232913970947266","22.095916748046875","22.369911193847656","11","11","11","21.048274993896484","21.048274993896484","21.048274993896484"
"12","12","12","12","25.572521209716797","25.572521209716797","25.572521209716797","12","12","12","22.98446750640869","22.931732177734375","23.037202835083008","12","12","12","21.6513729095459","21.6513729095459","21.6513729095459"
"13","13","13","13","26.228113174438477","26.228113174438477","26.228113174438477","13","13","13","23.64139747619629","23.548816680908203","23.733978271484375","13","13","13","22.217809677124023","22.217809677124023","22.217809677124023"
"14","14","14","14","26.741432189941406","26.741432189941406","26.741432189941406","14","14","14","24.162700653076172","24.10532569885254","24.220075607299805","14","14","14","22.751487731933594","22.751487731933594","22.751487731933594"
"15","15","15","15","27.213098526000977","27.213098526000977","27.213098526000977","15","15","15","24.625274658203125","24.579320907592773","24.671228408813477","15","15","15","23.09882354736328","23.09882354736328","23.09882354736328"
"16","16","16","16","27.671428680419922","27.671428680419922","27.671428680419922","16","16","16","25.039109230041504","24.980640411376953","25.097578048706055","16","16","16","23.545686721801758","23.545686721801758","23.545686721801758"
"17","17","17","17","27.96096420288086","27.96096420288086","27.96096420288086","17","17","17","25.434624671936035","25.409671783447266","25.459577560424805","17","17","17","23.88568878173828","23.88568878173828","23.88568878173828"
"18","18","18","18","28.339265823364258","28.339265823364258","28.339265823364258","18","18","18","25.750615119934082","25.731679916381836","25.769550323486328","18","18","18","24.216018676757812","24.216018676757812","24.216018676757812"
"19","19","19","19","28.672327041625977","28.672327041625977","28.672327041625977","19","19","19","26.049365997314453","26.04918098449707","26.049551010131836","19","19","19","24.53847312927246","24.53847312927246","24.53847312927246"
"20","20","20","20","29.0244197845459","29.0244197845459","29.0244197845459","20","20","20","26.30306911468506","26.264535903930664","26.341602325439453","20","20","20","24.726686477661133","24.726686477661133","24.726686477661133"
"21","21","21","21","29.234708786010742","29.234708786010742","29.234708786010742","21","21","21","26.65666961669922","26.623310089111328","26.69002914428711","21","21","21","25.056238174438477","25.056238174438477","25.056238174438477"
